ID,utterance,charlie,morgane,list-ID,child,age,file,similar,different
17,\<None\> \<None\> toi veux manger le gâteau ? [media],"[CHI-Initiation:Non-information-seeking,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,Anae,2,020025,NULL,"CHI-Initiation:Non-information-seeking , CHI-Initiation:Information-seeking:fact-based"
18,merci .,"[NULL,NULL,NULL]","[PAR-Response:Non-answer:declarative,NULL,NULL]",1,Anae,2,020025,NULL,PAR-Response:Non-answer:declarative
20,c'est toi qui l'as fait ? [media],"[NULL,NULL,NULL]","[PAR-Response:Non-answer:declarative,NULL,NULL]",1,Anae,2,020025,NULL,PAR-Response:Non-answer:declarative
21,ouais . [media],"[NULL,NULL,NULL]","[CHI-Follow-up:Otherwise,NULL,NULL]",1,Anae,2,020025,NULL,CHI-Follow-up:Otherwise
27,ə peut ouvrir ? [media],"[CHI-Initiation:Non-information-seeking,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,PAR-Response:No-response,NULL]",1,Anae,2,020025,NULL,"CHI-Initiation:Non-information-seeking , CHI-Initiation:Information-seeking:fact-based , PAR-Response:No-response"
29,allez Kiki ! [media],"[NULL,NULL,NULL]","[CHI-Follow-up:Otherwise,NULL,NULL]",1,Anae,2,020025,NULL,CHI-Follow-up:Otherwise
41,c'est bon ? [media],"[CHI-Initiation:Information-seeking:fact-based,PAR-Response:No-response,NULL]","[CHI-Initiation:Information-seeking:fact-based,PAR-Response:No-response,NULL]",1,Anae,2,020025,"CHI-Initiation:Information-seeking:fact-based , PAR-Response:No-response , NULL",
42,il ja mangé deux ! [media],"[CHI-Follow-up:Otherwise,NULL,NULL]","[CHI-Follow-up:Own-explanation,NULL,NULL]",1,Anae,2,020025,NULL,"CHI-Follow-up:Otherwise , CHI-Follow-up:Own-explanation"
45,ə enlever la peau ? [media],"[CHI-Initiation:Non-information-seeking,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,PAR-Response:No-response,NULL]",1,Anae,2,020025,NULL,"CHI-Initiation:Non-information-seeking , CHI-Initiation:Information-seeking:fact-based , PAR-Response:No-response"
46,la peau de yyy yyy . [media],"[NULL,NULL,NULL]","[CHI-Follow-up:Otherwise,NULL,NULL]",1,Anae,2,020025,NULL,CHI-Follow-up:Otherwise
47,veux encore un gâteau maman ? [media],"[CHI-Initiation:Information-seeking:fact-based,PAR-Response:No-response,NULL]","[CHI-Follow-up:Followup-question,CHI-Initiation:Information-seeking:fact-based,Complex-long]",1,Anae,2,020025,CHI-Initiation:Information-seeking:fact-based,"PAR-Response:No-response , NULL , CHI-Follow-up:Followup-question , Complex-long"
48,veux enc aïe ! [media],"[CHI-Follow-up:Otherwise,NULL,NULL]","[NULL,NULL,NULL]",1,Anae,2,020025,NULL,CHI-Follow-up:Otherwise
52,veux manger ? [media],"[CHI-Initiation:Information-seeking:fact-based,PAR-Response:No-response,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,Anae,2,020025,"CHI-Initiation:Information-seeking:fact-based , NULL",PAR-Response:No-response
