ID,utterance,annotation-charlie,annotation-morgane,list-ID
5,c'est mon c'est yyy yyy coupe mon yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
5,c'est mon c'est yyy yyy coupe mon yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
6,c'est c'était bon le le . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
6,c'est c'était bon le le . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
7,toi vas manger le gâteau yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
7,toi vas manger le gâteau yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
8,moi yyy xxx mange mon gâteau . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
8,moi yyy xxx mange mon gâteau . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
9,[quote] le dix neuf août deux mille huit .,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
9,[quote] le dix neuf août deux mille huit .,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
10,moi sais couper mon gâteau . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
10,moi sais couper mon gâteau . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
11,moi yyy zə mange comme ça . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
11,moi yyy zə mange comme ça . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
12,moi je mange comme ça .,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
12,moi je mange comme ça .,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
13,ça c'est du pain . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
13,ça c'est du pain . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
14,hum hum .,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
14,hum hum .,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
15,mmh c'est bon ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
15,mmh c'est bon ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
16,ça c'est bon . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
16,ça c'est bon . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
17,\<None\> \<None\> toi veux manger le gâteau ? [media],"[CHI-Initiation:Non-information-seeking,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1
17,\<None\> \<None\> toi veux manger le gâteau ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
18,merci .,"[NULL,NULL,NULL]","[PAR-Response:Non-answer:declarative,NULL,NULL]",1
18,merci .,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
19,mmh c'est très bon ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
19,mmh c'est très bon ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
20,c'est toi qui l'as fait ? [media],"[NULL,NULL,NULL]","[PAR-Response:Non-answer:declarative,NULL,NULL]",1
20,c'est toi qui l'as fait ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
21,ouais . [media],"[NULL,NULL,NULL]","[CHI-Follow-up:Otherwise,NULL,NULL]",1
21,ouais . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
22,qu'est-ce que tu as mis dedans ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
22,qu'est-ce que tu as mis dedans ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
23,yyy du chocolat .,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
23,yyy du chocolat .,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
