ID,utterance,annotation-charlie,annotation-morgane,list-ID
6,jouer ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
6,jouer ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
7,aujourd'hui on est le ... [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
7,aujourd'hui on est le ... [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
8,je n sais pas . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
8,je n sais pas . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
9,combien juin . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
9,combien juin . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
10,vingt euh xxx ... [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
10,vingt euh xxx ... [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
11,[quote] le xxx .,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
11,[quote] le xxx .,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
12,[quote] cinq . vingt . vingt quatre ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
12,[quote] cinq . vingt . vingt quatre ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
13,[quote] vingt quatre ou vingt cinq . vingt quatre juin !,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
13,[quote] vingt quatre ou vingt cinq . vingt quatre juin !,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
14,[quote] deux mille dix ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
14,[quote] deux mille dix ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
15,mai . vingt quatre mai ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
15,mai . vingt quatre mai ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
16,le vingt quatre mai deux mille dix \<None\> ... [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
16,le vingt quatre mai deux mille dix \<None\> ... [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
17,[quote] 0. .,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
17,[quote] 0. .,"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
18,[quote] Anaé . aura quatre ans . d dans un mois ... [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
18,[quote] Anaé . aura quatre ans . d dans un mois ... [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
19,[quote] deux \<None\> . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
19,[quote] deux \<None\> . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
