ID,utterance,annotation-charlie,annotation-morgane,list-ID
2,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
2,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
3,tiens faudra que tu goûtes j'ai récupéré ça au petit déj il paraît que c'est typiquement Australien de la ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
3,tiens faudra que tu goûtes j'ai récupéré ça au petit déj il paraît que c'est typiquement Australien de la ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
4,il parait que c'est bon mais ça me parait un peu bizarre . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
4,il parait que c'est bon mais ça me parait un peu bizarre . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
5,bon qu'est-ce tu dis Adrien pose ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
5,bon qu'est-ce tu dis Adrien pose ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
6,attends c'est trop c'est pas assez serré là non ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
6,attends c'est trop c'est pas assez serré là non ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
7,on peut pas serrer plus Naomi ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
7,on peut pas serrer plus Naomi ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
8,euh je crois que c'est au maximum en fait je sais pas si ça se détend au fur et à mesure . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
8,euh je crois que c'est au maximum en fait je sais pas si ça se détend au fur et à mesure . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
9,mets-le en bandoulière ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
9,mets-le en bandoulière ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
10,attends ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
10,attends ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
11,mets ta main là ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
11,mets ta main là ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
12,vas_y mets ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
12,vas_y mets ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
13,ho hisse ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
13,ho hisse ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
14,qu'est-ce tu dis Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
14,qu'est-ce tu dis Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
15,papa comment tu dis papa Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
15,papa comment tu dis papa Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
16,papa . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
16,papa . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
17,attends lève xxx . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
17,attends lève xxx . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
18,il était où papa Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
18,il était où papa Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
19,a ah ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
19,a ah ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
20,oui attends maman elle va ramasser c'est bon tiens donne . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
20,oui attends maman elle va ramasser c'est bon tiens donne . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
21,il était où papa Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
21,il était où papa Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
22,papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
22,papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
23,parti papa . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
23,parti papa . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
24,non c'est Adrien qui était parti t'étais chez qui Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
24,non c'est Adrien qui était parti t'étais chez qui Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
25,tata ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
25,tata ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
26,oui mais avant ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
26,oui mais avant ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
27,aujourd'hui t'étais chez tata ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
27,aujourd'hui t'étais chez tata ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
28,t'étais chez qui chez papi et mam . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
28,t'étais chez qui chez papi et mam . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
29,maman maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
29,maman maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
