ID,utterance,annotation,list-ID
2,www . [media],"[NULL,NULL,NULL]",1
2,www . [media],"[NULL,NULL,NULL]",2
3,montre à la caméra comme il est beau ton jean ! [media],"[NULL,NULL,NULL]",1
3,montre à la caméra comme il est beau ton jean ! [media],"[NULL,NULL,NULL]",2
4,"fais voir , oh qu'est-ce qu'il est beau ! [media]","[NULL,NULL,NULL]",1
4,"fais voir , oh qu'est-ce qu'il est beau ! [media]","[NULL,NULL,NULL]",2
5,"tiens tu fais le tour , tu fais un tour sur toi même ? [media]","[NULL,NULL,NULL]",1
5,"tiens tu fais le tour , tu fais un tour sur toi même ? [media]","[NULL,NULL,NULL]",2
6,regarde fais le tour Adrien ! [media],"[NULL,NULL,NULL]",1
6,regarde fais le tour Adrien ! [media],"[NULL,NULL,NULL]",2
7,wouah ! [media],"[NULL,NULL,NULL]",1
7,wouah ! [media],"[NULL,NULL,NULL]",2
8,fais un tour ! [media],"[NULL,NULL,NULL]",1
8,fais un tour ! [media],"[NULL,NULL,NULL]",2
9,"non mais tu fais le tour , tu fais un tour , tu fais pas le tour de la maison ! [media]","[NULL,NULL,NULL]",1
9,"non mais tu fais le tour , tu fais un tour , tu fais pas le tour de la maison ! [media]","[NULL,NULL,NULL]",2
10,allez maintenant tu peux l'enlever ! [media],"[NULL,NULL,NULL]",1
10,allez maintenant tu peux l'enlever ! [media],"[NULL,NULL,NULL]",2
11,non ! [media],"[NULL,NULL,NULL]",1
11,non ! [media],"[NULL,NULL,NULL]",2
12,allez maintenant on va se doucher ! [media],"[NULL,NULL,NULL]",1
12,allez maintenant on va se doucher ! [media],"[NULL,NULL,NULL]",2
13,non j'ai pas envie ! [media],"[NULL,NULL,NULL]",1
13,non j'ai pas envie ! [media],"[NULL,NULL,NULL]",2
14,pourquoi tu veux pas l'enlever ? [media],"[NULL,NULL,NULL]",1
14,pourquoi tu veux pas l'enlever ? [media],"[NULL,NULL,NULL]",2
15,non je pas enlever ! [media],"[NULL,NULL,NULL]",1
15,non je pas enlever ! [media],"[NULL,NULL,NULL]",2
16,non tu veux pas l'enlever ? [media],"[NULL,NULL,NULL]",1
16,non tu veux pas l'enlever ? [media],"[NULL,NULL,NULL]",2
17,non ! [media],"[NULL,NULL,NULL]",1
17,non ! [media],"[NULL,NULL,NULL]",2
18,pourquoi ? [media],"[NULL,NULL,NULL]",1
18,pourquoi ? [media],"[NULL,NULL,NULL]",2
19,je veux pas enlever à maison ! [media],"[NULL,NULL,NULL]",1
19,je veux pas enlever à maison ! [media],"[NULL,NULL,NULL]",2
20,tu veux pas l'enlever à la maison ? [media],"[NULL,NULL,NULL]",1
20,tu veux pas l'enlever à la maison ? [media],"[NULL,NULL,NULL]",2
21,non ! [media],"[NULL,NULL,NULL]",1
21,non ! [media],"[NULL,NULL,NULL]",2
22,alors écoute Adrien . [media],"[NULL,NULL,NULL]",1
22,alors écoute Adrien . [media],"[NULL,NULL,NULL]",2
23,t'es cassé jean ! [media],"[NULL,NULL,NULL]",1
23,t'es cassé jean ! [media],"[NULL,NULL,NULL]",2
24,il est cassé le jean ? [media],"[NULL,NULL,NULL]",1
24,il est cassé le jean ? [media],"[NULL,NULL,NULL]",2
25,il est cassé le jean de Naomi ? [media],"[NULL,NULL,NULL]",1
25,il est cassé le jean de Naomi ? [media],"[NULL,NULL,NULL]",2
26,non c'est fait exprès Adrien ! [media],"[NULL,NULL,NULL]",1
26,non c'est fait exprès Adrien ! [media],"[NULL,NULL,NULL]",2
27,tu vois elle les achète cassés elle ! [media],"[NULL,NULL,NULL]",1
27,tu vois elle les achète cassés elle ! [media],"[NULL,NULL,NULL]",2
28,"l'autre jour on en a vu des comme ça , il fait ah non ça c'est déchiré , c'est cassé ! [media]","[NULL,NULL,NULL]",1
28,"l'autre jour on en a vu des comme ça , il fait ah non ça c'est déchiré , c'est cassé ! [media]","[NULL,NULL,NULL]",2
29,oh x veux ça papa ! [media],"[NULL,NULL,NULL]",1
29,oh x veux ça papa ! [media],"[NULL,NULL,NULL]",2
30,c'est un mi un micro ! [media],"[NULL,NULL,NULL]",1
30,c'est un mi un micro ! [media],"[NULL,NULL,NULL]",2
31,moi je mets pas moi je mets pas ça ! [media],"[NULL,NULL,NULL]",1
31,moi je mets pas moi je mets pas ça ! [media],"[NULL,NULL,NULL]",2
32,est-ce que tu peux le descendre un peu plus ? [media],"[NULL,NULL,NULL]",1
32,est-ce que tu peux le descendre un peu plus ? [media],"[NULL,NULL,NULL]",2
33,"pour qu'il soit plus près de , au niveau de sa bouche ? [media]","[NULL,NULL,NULL]",1
33,"pour qu'il soit plus près de , au niveau de sa bouche ? [media]","[NULL,NULL,NULL]",2
34,"ouais ouais , tu le mets , tu le mets pas , tu sais pourquoi est-ce que tu le mets pas Adrien ? [media]","[NULL,NULL,NULL]",1
34,"ouais ouais , tu le mets , tu le mets pas , tu sais pourquoi est-ce que tu le mets pas Adrien ? [media]","[NULL,NULL,NULL]",2
35,"tu le mets pas parce_qu on , parce_qu on va se doucher ! [media]","[NULL,NULL,NULL]",1
35,"tu le mets pas parce_qu on , parce_qu on va se doucher ! [media]","[NULL,NULL,NULL]",2
36,papa le met ! [media],"[NULL,NULL,NULL]",1
36,papa le met ! [media],"[NULL,NULL,NULL]",2
37,papa il met parce_qu il va doucher Adrien ! [media],"[NULL,NULL,NULL]",1
37,papa il met parce_qu il va doucher Adrien ! [media],"[NULL,NULL,NULL]",2
38,moi je mets pas le ça ! [media],"[NULL,NULL,NULL]",1
38,moi je mets pas le ça ! [media],"[NULL,NULL,NULL]",2
39,"tout à l'heure on le mettra , tu veux le mettre tout à l'heure ? [media]","[NULL,NULL,NULL]",1
39,"tout à l'heure on le mettra , tu veux le mettre tout à l'heure ? [media]","[NULL,NULL,NULL]",2
40,www . [media],"[NULL,NULL,NULL]",1
40,www . [media],"[NULL,NULL,NULL]",2
41,si mon bonhomme tu vas voir c'est marrant ! [media],"[NULL,NULL,NULL]",1
41,si mon bonhomme tu vas voir c'est marrant ! [media],"[NULL,NULL,NULL]",2
42,"tiens Emeric , va mettre ça au pied de ton lit . [media]","[NULL,NULL,NULL]",1
42,"tiens Emeric , va mettre ça au pied de ton lit . [media]","[NULL,NULL,NULL]",2
43,allez Adrien ! [media],"[NULL,NULL,NULL]",1
43,allez Adrien ! [media],"[NULL,NULL,NULL]",2
44,www . [media],"[NULL,NULL,NULL]",1
44,www . [media],"[NULL,NULL,NULL]",2
45,allez Adrien ! [media],"[NULL,NULL,NULL]",1
45,allez Adrien ! [media],"[NULL,NULL,NULL]",2
46,"tu veux montrer , tu veux montrer à Naomi comment on joue à cache ? [media]","[NULL,NULL,NULL]",1
46,"tu veux montrer , tu veux montrer à Naomi comment on joue à cache ? [media]","[NULL,NULL,NULL]",2
47,"allez , tu vas te cacher mon bonhomme ? [media]","[NULL,NULL,NULL]",1
47,"allez , tu vas te cacher mon bonhomme ? [media]","[NULL,NULL,NULL]",2
48,allez va vite te cacher Adrien ! [media],"[NULL,NULL,NULL]",1
48,allez va vite te cacher Adrien ! [media],"[NULL,NULL,NULL]",2
49,non d'abord papa cache ! [media],"[NULL,NULL,NULL]",1
49,non d'abord papa cache ! [media],"[NULL,NULL,NULL]",2
50,"ah non non c'est pas papa qui se cache , papa il va pas se déshabiller , c'est Adrien qui se cache ! [media]","[NULL,NULL,NULL]",1
50,"ah non non c'est pas papa qui se cache , papa il va pas se déshabiller , c'est Adrien qui se cache ! [media]","[NULL,NULL,NULL]",2
51,cacher papa ! [media],"[NULL,NULL,NULL]",1
51,cacher papa ! [media],"[NULL,NULL,NULL]",2
52,je crois que Collomb il a été élu du premier coup non ? [media],"[NULL,NULL,NULL]",1
52,je crois que Collomb il a été élu du premier coup non ? [media],"[NULL,NULL,NULL]",2
53,non c'est c'est Adrien qui va se cacher ! [media],"[NULL,NULL,NULL]",1
53,non c'est c'est Adrien qui va se cacher ! [media],"[NULL,NULL,NULL]",2
54,cacher cache cache ! [media],"[NULL,NULL,NULL]",1
54,cacher cache cache ! [media],"[NULL,NULL,NULL]",2
55,"Adrien , et ben et si Adrien il le trouve papa il enlève un vêtement d'accord ? [media]","[NULL,NULL,NULL]",1
55,"Adrien , et ben et si Adrien il le trouve papa il enlève un vêtement d'accord ? [media]","[NULL,NULL,NULL]",2
56,www . [media],"[NULL,NULL,NULL]",1
56,www . [media],"[NULL,NULL,NULL]",2
57,qu'est-ce tu dis ? [media],"[NULL,NULL,NULL]",1
57,qu'est-ce tu dis ? [media],"[NULL,NULL,NULL]",2
58,va va va te cache ! [media],"[NULL,NULL,NULL]",1
58,va va va te cache ! [media],"[NULL,NULL,NULL]",2
59,"ah non pas papa , c'est Adrien qui . papa il va pas se doucher ! [media]","[NULL,NULL,NULL]",1
59,"ah non pas papa , c'est Adrien qui . papa il va pas se doucher ! [media]","[NULL,NULL,NULL]",2
60,non allez enlever ça moi ! [media],"[NULL,NULL,NULL]",1
60,non allez enlever ça moi ! [media],"[NULL,NULL,NULL]",2
61,"non non non non , papa . tu veux toi enlever la veste ? [media]","[NULL,NULL,NULL]",1
61,"non non non non , papa . tu veux toi enlever la veste ? [media]","[NULL,NULL,NULL]",2
62,non veux papa cache ! [media],"[NULL,NULL,NULL]",1
62,non veux papa cache ! [media],"[NULL,NULL,NULL]",2
63,de quoi ? [media],"[NULL,NULL,NULL]",1
63,de quoi ? [media],"[NULL,NULL,NULL]",2
64,je veux cache ! [media],"[NULL,NULL,NULL]",1
64,je veux cache ! [media],"[NULL,NULL,NULL]",2
65,j'enlève quoi ? [media],"[NULL,NULL,NULL]",1
65,j'enlève quoi ? [media],"[NULL,NULL,NULL]",2
66,ça yyy yyy cache ! [media],"[NULL,NULL,NULL]",1
66,ça yyy yyy cache ! [media],"[NULL,NULL,NULL]",2
67,cache ! [media],"[NULL,NULL,NULL]",1
67,cache ! [media],"[NULL,NULL,NULL]",2
68,"cache , d'accord ! [media]","[NULL,NULL,NULL]",1
68,"cache , d'accord ! [media]","[NULL,NULL,NULL]",2
69,je suis caché ! [media],"[NULL,NULL,NULL]",1
69,je suis caché ! [media],"[NULL,NULL,NULL]",2
70,coucou ! [media],"[NULL,NULL,NULL]",1
70,coucou ! [media],"[NULL,NULL,NULL]",2
71,Adrien ! [media],"[NULL,NULL,NULL]",1
71,Adrien ! [media],"[NULL,NULL,NULL]",2
72,ga ! [media],"[NULL,NULL,NULL]",1
72,ga ! [media],"[NULL,NULL,NULL]",2
73,"alors c'est toi , on enlève la veste ! [media]","[NULL,NULL,NULL]",1
73,"alors c'est toi , on enlève la veste ! [media]","[NULL,NULL,NULL]",2
74,non ! [media],"[NULL,NULL,NULL]",1
74,non ! [media],"[NULL,NULL,NULL]",2
