ID,utterance,annotation,list-ID
5,oh mince . j'avais commencé . [media],"[NULL,NULL,NULL]",1
5,oh mince . j'avais commencé . [media],"[NULL,NULL,NULL]",2
6,t avais commencé \<None\> ! [media],"[NULL,NULL,NULL]",1
6,t avais commencé \<None\> ! [media],"[NULL,NULL,NULL]",2
7,xxx . [media],"[NULL,NULL,NULL]",1
7,xxx . [media],"[NULL,NULL,NULL]",2
8,c'est compatible ou pas ?,"[NULL,NULL,NULL]",1
8,c'est compatible ou pas ?,"[NULL,NULL,NULL]",2
9,un café ? [media],"[NULL,NULL,NULL]",1
9,un café ? [media],"[NULL,NULL,NULL]",2
10,oui . [media],"[NULL,NULL,NULL]",1
10,oui . [media],"[NULL,NULL,NULL]",2
11,je sais pas si c'est très compatible . [media],"[NULL,NULL,NULL]",1
11,je sais pas si c'est très compatible . [media],"[NULL,NULL,NULL]",2
12,[quote] avec la caméra . [media],"[NULL,NULL,NULL]",1
12,[quote] avec la caméra . [media],"[NULL,NULL,NULL]",2
13,0. . [media],"[NULL,NULL,NULL]",1
13,0. . [media],"[NULL,NULL,NULL]",2
14,[quote] 0. .,"[NULL,NULL,NULL]",1
14,[quote] 0. .,"[NULL,NULL,NULL]",2
16,ben ou après . [media],"[NULL,NULL,NULL]",1
16,ben ou après . [media],"[NULL,NULL,NULL]",2
17,alors tu refais tes p tas ? [media],"[NULL,NULL,NULL]",1
17,alors tu refais tes p tas ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
18,[quote] je te r .,"[NULL,NULL,NULL]",1
18,[quote] je te r .,"[NULL,NULL,NULL]",2
19,yyy . [media],"[NULL,NULL,NULL]",1
19,yyy . [media],"[NULL,NULL,NULL]",2
20,attends je me souviens plus dans quel sens c'est ... [media],"[NULL,NULL,NULL]",1
20,attends je me souviens plus dans quel sens c'est ... [media],"[NULL,NULL,NULL]",2
21,je vais peut-être allumer parce qu'il fait ... [media],"[NULL,NULL,NULL]",1
21,je vais peut-être allumer parce qu'il fait ... [media],"[NULL,NULL,NULL]",2
22,[quote] xxx comme ça ...,"[NULL,NULL,NULL]",1
22,[quote] xxx comme ça ...,"[NULL,NULL,NULL]",2
23,xxx . [media],"[NULL,NULL,NULL]",1
23,xxx . [media],"[NULL,NULL,NULL]",2
24,faut d'abord que je fasse des xxx ... [media],"[NULL,NULL,NULL]",1
24,faut d'abord que je fasse des xxx ... [media],"[NULL,NULL,NULL]",2
