ID,utterance,charlie,morgane,list-ID,similar,different
37,quoi ? [media],"[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,"CHI-Initiation:Information-seeking:fact-based , NULL",
38,on était où en vacances ? [media],"[PAR-Response:Non-answer:interrogative,NULL,NULL]","[PAR-Response:Non-answer:interrogative,NULL,NULL]",1,"PAR-Response:Non-answer:interrogative , NULL",
39,où est-ce qu'on est allé . avec Anouk ? [media],"[NULL,NULL,NULL]","[PAR-Response:Non-answer:interrogative,NULL,NULL]",1,NULL,PAR-Response:Non-answer:interrogative
40,oh oh ! [media],"[CHI-Follow-up:Otherwise,NULL,NULL]","[CHI-Follow-up:Otherwise,NULL,NULL]",1,"CHI-Follow-up:Otherwise , NULL",
41,elle est où poupée ? [media],"[CHI-Follow-up:Followup-question,CHI-Initiation:Information-seeking:fact-based,Complex-long]","[CHI-Follow-up:Followup-question,CHI-Initiation:Information-seeking:fact-based,PAR-Response:No-response]",1,"CHI-Follow-up:Followup-question , CHI-Initiation:Information-seeking:fact-based","Complex-long , PAR-Response:No-response"
42,0. . [media],"[NULL,NULL,NULL]","[CHI-Follow-up:Otherwise,NULL,NULL]",1,NULL,CHI-Follow-up:Otherwise
54,quoi ? [media],"[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,"CHI-Initiation:Information-seeking:fact-based , NULL",
55,on est allé où avec Anouk ? [media],"[PAR-Response:Non-answer:interrogative,NULL,NULL]","[PAR-Response:Non-answer:interrogative,NULL,NULL]",1,"PAR-Response:Non-answer:interrogative , NULL",
56,yyy . [media],"[CHI-Follow-up:Otherwise,NULL,NULL]","[CHI-Follow-up:Otherwise,NULL,NULL]",1,"CHI-Follow-up:Otherwise , NULL",
102,et et ça ? [media],"[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,"CHI-Initiation:Information-seeking:fact-based , NULL",
103,qu'est-ce que c'est ça ? [media],"[PAR-Response:Non-answer:interrogative,NULL,NULL]","[PAR-Response:Non-answer:interrogative,NULL,NULL]",1,"PAR-Response:Non-answer:interrogative , NULL",
104,on en a vu plein en vacances c'est le \<trail off question\> [media],"[NULL,NULL,NULL]","[PAR-Response:Non-answer:declarative,PAR-Response:Non-answer:interrogative,NULL]",1,NULL,"PAR-Response:Non-answer:declarative , PAR-Response:Non-answer:interrogative"
105,le \<trail off question\> [media],"[CHI-Follow-up:Followup-question,CHI-Initiation:Information-seeking:fact-based,NULL]","[CHI-Follow-up:Repeat-answer,NULL,NULL]",1,NULL,"CHI-Follow-up:Followup-question , CHI-Initiation:Information-seeking:fact-based , CHI-Follow-up:Repeat-answer"
106,m \<trail off question\> [media],"[PAR-Response:Non-answer:interrogative,NULL,NULL]","[NULL,NULL,NULL]",1,NULL,PAR-Response:Non-answer:interrogative
107,[quote] mouton \<None\> \<None\> \<None\> \<None\> il monte .,"[CHI-Follow-up:Own-explanation,NULL,NULL]","[NULL,NULL,NULL]",1,NULL,CHI-Follow-up:Own-explanation
153,et ça ? [media],"[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,"CHI-Initiation:Information-seeking:fact-based , NULL",
155,qu'est-ce qui s'est passé là ? [media],"[PAR-Response:Non-answer:interrogative,NULL,NULL]","[PAR-Response:Non-answer:interrogative,NULL,NULL]",1,"PAR-Response:Non-answer:interrogative , NULL",
156,qui est-ce qui a dessiné sur le livre ? [media],"[NULL,NULL,NULL]","[PAR-Response:Non-answer:interrogative,NULL,NULL]",1,NULL,PAR-Response:Non-answer:interrogative
158,quoi ? [media],"[CHI-Follow-up:Followup-question,CHI-Initiation:Information-seeking:fact-based,NULL]","[CHI-Follow-up:Followup-question,CHI-Initiation:Information-seeking:fact-based,NULL]",1,"CHI-Follow-up:Followup-question , CHI-Initiation:Information-seeking:fact-based , NULL",
159,qui est-ce qui a dessiné sur le livre ? [media],"[PAR-Response:Non-answer:interrogative,NULL,NULL]","[PAR-Response:Non-answer:interrogative,NULL,NULL]",1,"PAR-Response:Non-answer:interrogative , NULL",
160,là ! [media],"[NULL,NULL,NULL]","[PAR-Response:Non-answer:declarative,NULL,NULL]",1,NULL,PAR-Response:Non-answer:declarative
161,c'est Anaé . [media],"[CHI-Follow-up:Own-explanation,NULL,NULL]","[CHI-Follow-up:Own-explanation,NULL,NULL]",1,"CHI-Follow-up:Own-explanation , NULL",
304,quoi ? [media],"[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]","[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1,"CHI-Initiation:Information-seeking:fact-based , NULL",
305,il saute où ? [media],"[PAR-Response:Non-answer:interrogative,NULL,NULL]","[PAR-Response:Non-answer:interrogative,NULL,NULL]",1,"PAR-Response:Non-answer:interrogative , NULL",
306,sur la mer ? [media],"[CHI-Follow-up:Followup-question,CHI-Initiation:Information-seeking:fact-based,NULL]","[CHI-Follow-up:Followup-question,CHI-Initiation:Information-seeking:fact-based,NULL]",1,"CHI-Follow-up:Followup-question , CHI-Initiation:Information-seeking:fact-based , NULL",
