ID,Speaker,utterance,annotation,list-ID
6,CHI,ma robe . [media],"[NULL,NULL,NULL]",1
6,CHI,ma robe . [media],"[NULL,NULL,NULL]",2
7,MOT,c'est un short jupe . [media],"[NULL,NULL,NULL]",1
7,MOT,c'est un short jupe . [media],"[NULL,NULL,NULL]",2
8,OBS,Anaé a trois ans depuis le vingt quatre juillet . [media],"[NULL,NULL,NULL]",1
8,OBS,Anaé a trois ans depuis le vingt quatre juillet . [media],"[NULL,NULL,NULL]",2
9,MOT,non mais parce que on n' est pas encore le vingt quatre on n' est pas encore le vingt quatre juillet . [media],"[NULL,NULL,NULL]",1
9,MOT,non mais parce que on n' est pas encore le vingt quatre on n' est pas encore le vingt quatre juillet . [media],"[NULL,NULL,NULL]",2
10,OBS,[quote] on n' est pas encore le vingt quatre juillet .,"[NULL,NULL,NULL]",1
10,OBS,[quote] on n' est pas encore le vingt quatre juillet .,"[NULL,NULL,NULL]",2
11,OBS,Anaé aura trois ans le vingt quatre juillet . [media],"[NULL,NULL,NULL]",1
11,OBS,Anaé aura trois ans le vingt quatre juillet . [media],"[NULL,NULL,NULL]",2
12,OBS,et on est le seize juillet . [media],"[NULL,NULL,NULL]",1
12,OBS,et on est le seize juillet . [media],"[NULL,NULL,NULL]",2
13,MOT,tiens tu mets ta chaussure ? [media],"[NULL,NULL,NULL]",1
13,MOT,tiens tu mets ta chaussure ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
14,MOT,c'est bientôt ton anniversaire ? [media],"[NULL,NULL,NULL]",1
14,MOT,c'est bientôt ton anniversaire ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
15,CHI,yyy . [media],"[NULL,NULL,NULL]",1
15,CHI,yyy . [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
16,MOT,tu vas avoir quel âge ? [media],"[NULL,NULL,NULL]",1
16,MOT,tu vas avoir quel âge ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2
17,CHI,ə vais avoir trois ans . [media],"[NULL,NULL,NULL]",1
17,CHI,ə vais avoir trois ans . [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
18,OBS,wah . [media],"[NULL,NULL,NULL]",1
18,OBS,wah . [media],"[NULL,NULL,NULL]",2
19,MOT,tu vas être une grande hein ? [media],"[NULL,NULL,NULL]",1
19,MOT,tu vas être une grande hein ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,NULL]",2
20,OBS,c'est un short jupe ça non ? [media],"[NULL,NULL,NULL]",1
20,OBS,c'est un short jupe ça non ? [media],"[NULL,NULL,NULL]",2
21,MOT,ouais . [media],"[NULL,NULL,NULL]",1
21,MOT,ouais . [media],"[NULL,NULL,NULL]",2
22,OBS,c'est joli . [media],"[NULL,NULL,NULL]",1
22,OBS,c'est joli . [media],"[NULL,NULL,NULL]",2
23,MOT,tiens on va aller moucher le nez . [media],"[NULL,NULL,NULL]",1
23,MOT,tiens on va aller moucher le nez . [media],"[NULL,NULL,NULL]",2
24,MOT,tu viens dans la cuisine regarde on va regarder ton livre de jeux . [media],"[NULL,NULL,NULL]",1
24,MOT,tu viens dans la cuisine regarde on va regarder ton livre de jeux . [media],"[NULL,NULL,NULL]",2
25,CHI,[quote] et \<interruption\>,"[NULL,NULL,NULL]",1
