ID,Speaker,utterance,annotation,list-ID
4,OBS,oh Théophile alors on est le quatre septembre ... [media],"[NULL,NULL,NULL]",1
4,OBS,oh Théophile alors on est le quatre septembre ... [media],"[NULL,NULL,NULL]",2
5,MOT,c'est quoi ça ?,"[NULL,NULL,NULL]",1
5,MOT,c'est quoi ça ?,"[PAR-Initiation:Information-seeking:fact-based ,Complex-long,NULL]",2
6,CHI,[quote] 0. yyy toi .,"[NULL,NULL,NULL]",1
6,CHI,[quote] 0. yyy toi .,"[NULL,NULL,NULL]",2
7,OBS,deux mille huit \<None\> .,"[NULL,NULL,NULL]",1
7,OBS,deux mille huit \<None\> .,"[NULL,NULL,NULL]",2
8,MOT,ah beh c'est pas fini ?,"[NULL,NULL,NULL]",1
8,MOT,ah beh c'est pas fini ?,"[PAR-Initiation:Information-seeking:fact-based ,Complex-long,NULL]",2
9,OBS,et Théophile ...,"[NULL,NULL,NULL]",1
9,OBS,et Théophile ...,"[NULL,NULL,NULL]",2
10,MOT,ah ben merci ! [media],"[NULL,NULL,NULL]",1
10,MOT,ah ben merci ! [media],"[NULL,NULL,NULL]",2
11,CHI,[quote] 0. .,"[NULL,NULL,NULL]",1
11,CHI,[quote] 0. .,"[NULL,NULL,NULL]",2
12,OBS,[quote] a trois ans et ...,"[NULL,NULL,NULL]",1
12,OBS,[quote] a trois ans et ...,"[NULL,NULL,NULL]",2
13,MOT,[quote] et deux mois ? [media],"[NULL,NULL,NULL]",1
13,MOT,[quote] et deux mois ? [media],"[NULL,NULL,NULL]",2
14,MOT,j'ai des doutes .,"[NULL,NULL,NULL]",1
14,MOT,j'ai des doutes .,"[NULL,NULL,NULL]",2
15,OBS,[quote] et deux mois .,"[NULL,NULL,NULL]",1
15,OBS,[quote] et deux mois .,"[NULL,NULL,NULL]",2
16,CHI,veux te faire un pétou . [media],"[NULL,NULL,NULL]",1
16,CHI,veux te faire un pétou . [media],"[NULL,NULL,NULL]",2
17,MOT,[quote] non non non .,"[NULL,NULL,NULL]",1
17,MOT,[quote] non non non .,"[NULL,NULL,NULL]",2
18,MOT,coquin \<None\> . [media],"[NULL,NULL,NULL]",1
18,MOT,coquin \<None\> . [media],"[NULL,NULL,NULL]",2
