ID,Speaker,utterance,annotation,list-ID
5,OBS,oh mince . j'avais commencé . [media],"[NULL,NULL,NULL]",1
5,OBS,oh mince . j'avais commencé . [media],"[NULL,NULL,NULL]",2
6,MOT,t avais commencé \<None\> ! [media],"[NULL,NULL,NULL]",1
6,MOT,t avais commencé \<None\> ! [media],"[NULL,NULL,NULL]",2
7,OBS,xxx . [media],"[NULL,NULL,NULL]",1
7,OBS,xxx . [media],"[NULL,NULL,NULL]",2
8,MOT,c'est compatible ou pas ?,"[NULL,NULL,NULL]",1
8,MOT,c'est compatible ou pas ?,"[NULL,NULL,NULL]",2
9,OBS,un café ? [media],"[NULL,NULL,NULL]",1
9,OBS,un café ? [media],"[NULL,NULL,NULL]",2
10,MOT,oui . [media],"[NULL,NULL,NULL]",1
10,MOT,oui . [media],"[NULL,NULL,NULL]",2
11,OBS,je sais pas si c'est très compatible . [media],"[NULL,NULL,NULL]",1
11,OBS,je sais pas si c'est très compatible . [media],"[NULL,NULL,NULL]",2
12,OBS,[quote] avec la caméra . [media],"[NULL,NULL,NULL]",1
12,OBS,[quote] avec la caméra . [media],"[NULL,NULL,NULL]",2
13,MOT,0. . [media],"[NULL,NULL,NULL]",1
13,MOT,0. . [media],"[NULL,NULL,NULL]",2
14,OBS,[quote] 0. .,"[NULL,NULL,NULL]",1
14,OBS,[quote] 0. .,"[NULL,NULL,NULL]",2
16,MOT,ben ou après . [media],"[NULL,NULL,NULL]",1
16,MOT,ben ou après . [media],"[NULL,NULL,NULL]",2
17,MOT,alors tu refais tes p tas ? [media],"[NULL,NULL,NULL]",1
17,MOT,alors tu refais tes p tas ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
18,OBS,[quote] je te r .,"[NULL,NULL,NULL]",1
18,OBS,[quote] je te r .,"[NULL,NULL,NULL]",2
19,CHI,yyy . [media],"[NULL,NULL,NULL]",1
19,CHI,yyy . [media],"[NULL,NULL,NULL]",2
20,CHI,attends je me souviens plus dans quel sens c'est ... [media],"[NULL,NULL,NULL]",1
20,CHI,attends je me souviens plus dans quel sens c'est ... [media],"[NULL,NULL,NULL]",2
21,MOT,je vais peut-être allumer parce qu'il fait ... [media],"[NULL,NULL,NULL]",1
21,MOT,je vais peut-être allumer parce qu'il fait ... [media],"[NULL,NULL,NULL]",2
22,CHI,[quote] xxx comme ça ...,"[NULL,NULL,NULL]",1
22,CHI,[quote] xxx comme ça ...,"[NULL,NULL,NULL]",2
23,MOT,xxx . [media],"[NULL,NULL,NULL]",1
23,MOT,xxx . [media],"[NULL,NULL,NULL]",2
24,CHI,faut d'abord que je fasse des xxx ... [media],"[NULL,NULL,NULL]",1
24,CHI,faut d'abord que je fasse des xxx ... [media],"[NULL,NULL,NULL]",2
25,CHI,[quote] parce que dans la règle du jeu ... [media],"[NULL,NULL,NULL]",1
25,CHI,[quote] parce que dans la règle du jeu ... [media],"[NULL,NULL,NULL]",2
26,CHI,[quote] il faut faire des p paquets . [media],"[NULL,NULL,NULL]",1
26,CHI,[quote] il faut faire des p paquets . [media],"[NULL,NULL,NULL]",2
