ID,Speaker,utterance,annotation,list-ID
2,CHI,non ! [media],"[NULL,NULL,NULL]",1
2,CHI,non ! [media],"[NULL,NULL,NULL]",2
3,FAT,si ! [media],"[NULL,NULL,NULL]",1
3,FAT,si ! [media],"[NULL,NULL,NULL]",2
4,FAT,allez ! [media],"[NULL,NULL,NULL]",1
4,FAT,allez ! [media],"[NULL,NULL,NULL]",2
5,FAT,hop là attends oui mais ça braque pas génial ça ! [media],"[NULL,NULL,NULL]",1
5,FAT,hop là attends oui mais ça braque pas génial ça ! [media],"[NULL,NULL,NULL]",2
6,FAT,t'es plus à l'aise sur ta voiture ça braque mieux ! [media],"[NULL,NULL,NULL]",1
6,FAT,t'es plus à l'aise sur ta voiture ça braque mieux ! [media],"[NULL,NULL,NULL]",2
7,FAT,allez vas_y avance ! [media],"[NULL,NULL,NULL]",1
7,FAT,allez vas_y avance ! [media],"[NULL,NULL,NULL]",2
8,FAT,ouais c'est bien mon bonhomme ! [media],"[NULL,NULL,NULL]",1
8,FAT,ouais c'est bien mon bonhomme ! [media],"[NULL,NULL,NULL]",2
9,FAT,xxx t'arrives à faire du tricycle ! [media],"[NULL,NULL,NULL]",1
9,FAT,xxx t'arrives à faire du tricycle ! [media],"[NULL,NULL,NULL]",2
10,FAT,va tu la tu le gardes le tricycle ? [media],"[NULL,NULL,NULL]",1
10,FAT,va tu la tu le gardes le tricycle ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
11,CHI,non ! [media],"[NULL,NULL,NULL]",1
11,CHI,non ! [media],"[NULL,NULL,NULL]",2
12,FAT,si ! [media],"[NULL,NULL,NULL]",1
12,FAT,si ! [media],"[NULL,NULL,NULL]",2
13,FAT,vas_y allez avance ! [media],"[NULL,NULL,NULL]",1
13,FAT,vas_y allez avance ! [media],"[NULL,NULL,NULL]",2
14,FAT,blam c'est bien mon bonhomme ! [media],"[NULL,NULL,NULL]",1
14,FAT,blam c'est bien mon bonhomme ! [media],"[NULL,NULL,NULL]",2
15,FAT,tiens tu prends ça Adrien ? [media],"[NULL,NULL,NULL]",1
15,FAT,tiens tu prends ça Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
16,FAT,prends ça ! [media],"[NULL,NULL,NULL]",1
16,FAT,prends ça ! [media],"[NULL,NULL,NULL]",2
17,CHI,non ! [media],"[NULL,NULL,NULL]",1
17,CHI,non ! [media],"[NULL,NULL,NULL]",2
18,FAT,si ! [media],"[NULL,NULL,NULL]",1
18,FAT,si ! [media],"[NULL,NULL,NULL]",2
19,CHI,non ! [media],"[NULL,NULL,NULL]",1
19,CHI,non ! [media],"[NULL,NULL,NULL]",2
20,FAT,tiens tu veux montrer comment tu sais faire des bêtises tiens viens ! [media],"[NULL,NULL,NULL]",1
20,FAT,tiens tu veux montrer comment tu sais faire des bêtises tiens viens ! [media],"[NULL,NULL,NULL]",2
21,CHI,yyy yyy . [media],"[NULL,NULL,NULL]",1
21,CHI,yyy yyy . [media],"[NULL,NULL,NULL]",2
22,FAT,oh hisse non pas oh hisse viens ! [media],"[NULL,NULL,NULL]",1
22,FAT,oh hisse non pas oh hisse viens ! [media],"[NULL,NULL,NULL]",2
23,FAT,Adrien ! [media],"[NULL,NULL,NULL]",1
23,FAT,Adrien ! [media],"[NULL,NULL,NULL]",2
24,CHI,non un autre ! [media],"[NULL,NULL,NULL]",1
24,CHI,non un autre ! [media],"[NULL,NULL,NULL]",2
25,FAT,non ça c'est à papa ça ! [media],"[NULL,NULL,NULL]",1
25,FAT,non ça c'est à papa ça ! [media],"[NULL,NULL,NULL]",2
26,FAT,tiens regarde tu montres à tu montres à Naomi vas_y montre ! [media],"[NULL,NULL,NULL]",1
26,FAT,tiens regarde tu montres à tu montres à Naomi vas_y montre ! [media],"[NULL,NULL,NULL]",2
27,CHI,maman ! [media],"[NULL,NULL,NULL]",1
27,CHI,maman ! [media],"[NULL,NULL,NULL]",2
28,CHI,papa ! [media],"[NULL,NULL,NULL]",1
28,CHI,papa ! [media],"[NULL,NULL,NULL]",2
29,CHI,maman papa ! [media],"[NULL,NULL,NULL]",1
29,CHI,maman papa ! [media],"[NULL,NULL,NULL]",2
30,CHI,papa ! [media],"[NULL,NULL,NULL]",1
30,CHI,papa ! [media],"[NULL,NULL,NULL]",2
31,FAT,papa tu veux que papa il fasse ? [media],"[NULL,NULL,NULL]",1
31,FAT,papa tu veux que papa il fasse ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
32,CHI,papa papa ! [media],"[NULL,NULL,NULL]",1
32,CHI,papa papa ! [media],"[CHI-Response:Non-answer:declarative,NULL,NULL]",2
33,FAT,oui ! [media],"[NULL,NULL,NULL]",1
33,FAT,oui ! [media],"[PAR-Follow-up:Signal-agreement,NULL,NULL]",2
34,FAT,oh hop là ! [media],"[NULL,NULL,NULL]",1
34,FAT,oh hop là ! [media],"[NULL,NULL,NULL]",2
35,FAT,tu fais toi Adrien ? [media],"[NULL,NULL,NULL]",1
35,FAT,tu fais toi Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
36,CHI,hop là ! [media],"[NULL,NULL,NULL]",1
36,CHI,hop là ! [media],"[NULL,NULL,NULL]",2
37,FAT,t'es tombé ! [media],"[NULL,NULL,NULL]",1
37,FAT,t'es tombé ! [media],"[NULL,NULL,NULL]",2
38,FAT,tombé Adrien ? [media],"[NULL,NULL,NULL]",1
38,FAT,tombé Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
39,FAT,attention à la tête ! [media],"[NULL,NULL,NULL]",1
39,FAT,attention à la tête ! [media],"[NULL,NULL,NULL]",2
40,FAT,allez tiens comme ça voilà ! [media],"[NULL,NULL,NULL]",1
40,FAT,allez tiens comme ça voilà ! [media],"[NULL,NULL,NULL]",2
41,CHI,boum ! [media],"[NULL,NULL,NULL]",1
41,CHI,boum ! [media],"[NULL,NULL,NULL]",2
42,FAT,boum ! [media],"[NULL,NULL,NULL]",1
42,FAT,boum ! [media],"[NULL,NULL,NULL]",2
43,FAT,allez tiens tu viens Adrien on va se doucher ! [media],"[NULL,NULL,NULL]",1
43,FAT,allez tiens tu viens Adrien on va se doucher ! [media],"[NULL,NULL,NULL]",2
44,FAT,non non non non viens on va se doucher ! [media],"[NULL,NULL,NULL]",1
44,FAT,non non non non viens on va se doucher ! [media],"[NULL,NULL,NULL]",2
45,FAT,tiens prends ça Adrien ! [media],"[NULL,NULL,NULL]",1
45,FAT,tiens prends ça Adrien ! [media],"[NULL,NULL,NULL]",2
46,FAT,tu prends ça ? [media],"[NULL,NULL,NULL]",1
46,FAT,tu prends ça ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
47,FAT,comment ça s'appelle Adrien ? [media],"[NULL,NULL,NULL]",1
47,FAT,comment ça s'appelle Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]",2
48,FAT,comment ça s'appelle ça ? [media],"[NULL,NULL,NULL]",1
48,FAT,comment ça s'appelle ça ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response]",2
49,FAT,hein une voiture ! [media],"[NULL,NULL,NULL]",1
49,FAT,hein une voiture ! [media],"[PAR-Follow-up:Give-response,NULL,NULL]",2
50,FAT,comment tu dis voiture Adrien ? [media],"[NULL,NULL,NULL]",1
50,FAT,comment tu dis voiture Adrien ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response]",2
51,FAT,hein comment tu dis Adrien voiture ? [media],"[NULL,NULL,NULL]",1
51,FAT,hein comment tu dis Adrien voiture ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2
52,CHI,voiture ! [media],"[NULL,NULL,NULL]",1
52,CHI,voiture ! [media],"[CHI-Response:Answer:no-explanation-needed,PAR-Follow-up:No-followup,NULL]",2
53,FAT,allez ! [media],"[NULL,NULL,NULL]",1
53,FAT,allez ! [media],"[NULL,NULL,NULL]",2
54,CHI,www . [media],"[NULL,NULL,NULL]",1
54,CHI,www . [media],"[NULL,NULL,NULL]",2
55,CHI,yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",1
55,CHI,yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",2
56,FAT,attends on se déshabille déshabille-toi Adrien ! [media],"[NULL,NULL,NULL]",1
56,FAT,attends on se déshabille déshabille-toi Adrien ! [media],"[NULL,NULL,NULL]",2
57,CHI,l'eau ! [media],"[NULL,NULL,NULL]",1
